,longitude,latitude
404,5.933333,43.116667
405,1.433333,43.6
406,6.666667,48.383333
407,0,0
408,1.433333,43.6
409,0.083333,48.433333
410,1.1,48.766667
411,0,0
412,-1.55,47.216667
413,-0.55,47.466667
414,3.066667,50.583333
415,-2.566667,47.55
416,2.733333,50.15
417,6.233333,48.733333
418,5.5,48.533333
419,-0.566667,44.833333
420,2.483333,48.766667
421,0,0
422,0,0
423,2.166667,49.516667
424,7.25,43.7
425,0,0
426,-2.566667,47.55
427,1.233333,47.316667
428,0,0
429,3.5,46.966667
430,0,0
431,0,0
432,0,0
433,2.25,48.916667
434,0,0
435,2.483333,48.766667
436,3.066667,50.583333
437,2.308333,48.95
438,3.166667,46.683333
439,0,0
440,0.116667,48.066667
441,1.45,44.083333
442,3.166667,45.8
443,2.066667,48.766667
444,0,0
445,4.333333,49.5
446,2.2,49.916667
447,2.733333,50.15
448,1.433333,43.6
449,6.233333,48.733333
450,2.733333,50.15
451,0,0
452,-0.5,43.333333
453,-0.566667,44.833333
454,2.066667,48.766667
455,1.233333,44.466667
456,2.25,48.916667
457,-0.566667,44.833333
458,0.083333,48.433333
459,2.166667,49.516667
460,3.066667,50.583333
461,-1.516667,46.208333
462,1.1,48.766667
463,1.45,44.083333
464,0,0
465,2.308333,48.95
466,0,0
467,1.866667,47.783333
468,2.383333,48.616667
469,0,0
470,6.033333,49.166667
471,4.766667,46.433333
472,2.383333,48.616667
473,7.75,48.583333
474,7.566667,48
475,0,0
476,3.9,43.566667
477,0,0
478,2.166667,49.516667
479,6.233333,45.883333
480,1.866667,47.783333
481,2.383333,48.616667
482,0,0
483,5.816667,45.533333
484,2.383333,48.616667
485,6.233333,45.883333
486,2.25,48.916667
487,-2.566667,47.55
488,7.25,43.7
489,3.066667,50.583333
490,2.308333,48.95
491,0,0
492,2.2,49.916667
493,0,0
494,6.233333,45.883333
495,0,0
496,2.483333,48.766667
497,-0.55,47.466667
498,0,0
499,4.316667,45.433333
500,4.383333,44.9
501,0.15,46.783333
502,2.166667,49.516667
503,7.566667,48
504,0,0
505,5.7,46.9
506,0,0
507,0,0
508,-0.566667,44.833333
509,2.25,48.916667
510,5.883333,47.133333
511,0,0
512,-1.1,49.116667
513,7.566667,48
514,7.75,48.583333
515,1.083333,49.433333
516,7.25,43.7
517,2.166667,49.516667
518,1.1,48.766667
519,0,0
520,-4.116667,47.866667
521,-0.55,47.466667
522,1.466667,43.05
523,0,0
524,2.15,43.933333
525,2.308333,48.95
526,7.75,48.583333
527,0,0
528,2.166667,49.516667
529,0.683333,47.383333
530,3.166667,45.8
531,4.916667,45.016667
532,1.233333,44.466667
533,0.116667,48.066667
534,0,0
535,-0.6,49.2
536,1.433333,43.6
537,7.25,43.7
538,-1.1,49.116667
539,6.033333,49.166667
540,5.166667,46.283333
541,-1.516667,46.208333
542,0.15,46.783333
543,4.766667,46.433333
544,0,0
545,3.966667,44.883333
546,7.25,43.7
547,-0.64616,44.36596
548,3.166667,46.683333
549,2.166667,49.516667
550,1.233333,45.8
551,5.866667,45.266667
552,3.066667,50.583333
553,0,0
554,2.15,43.933333
555,2.85,44.75
556,2.066667,48.766667
557,3.166667,45.8
558,4.383333,44.9
559,1.083333,49.433333
560,3.966667,44.883333
561,0,0
562,3.9,43.566667
563,1.433333,43.6
564,2.383333,48.616667
565,3.35,47.866667
566,6.666667,48.383333
567,2.166667,49.516667
568,4.333333,49.5
569,7.75,48.583333
570,2.166667,49.516667
571,7.75,48.583333
572,1.083333,49.433333
573,6.033333,49.166667
574,0,0
575,0,0
