,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FURST Laurent,0.0,0.0,0.0,0.0,29401.0,29400.0,29389.0,14873.0,0.0,0.0,0.0
GAILLARD Olivier,0.0,47230.0,52279.0,54061.0,64521.0,102032.0,101225.0,57510.0,0.0,0.0,0.0
GAILLOT Albane,0.0,34592.0,40258.0,41028.0,48598.0,45730.0,45286.0,35445.0,0.0,0.0,0.0
GALLERNEAU Patricia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARCIA Laurent,0.0,50244.0,57918.0,52278.0,111032.0,111789.0,116291.0,27987.0,0.0,0.0,0.0
GAROT Guillaume,0.0,0.0,31827.0,92412.0,31219.0,10368.0,15562.0,9225.0,0.0,0.0,0.0
GASSILLOUD Thomas,0.0,33092.0,33092.0,50079.0,125605.0,91220.0,70032.0,37148.0,0.0,0.0,0.0
GAULTIER Jean-Jacques,0.0,0.0,197033.0,165600.0,165052.0,184463.0,180250.0,26573.0,0.0,0.0,0.0
GAUVAIN Raphaël,0.0,153262.0,141151.0,209880.0,157915.0,197566.0,200153.0,90000.0,0.0,0.0,0.0
GAYTE Laurence,0.0,0.0,0.0,25647.0,23614.0,28659.0,30237.0,15000.0,0.0,0.0,0.0
GENETET Anne,0.0,0.0,3144.0,3190.0,13613.0,10692.0,7673.0,0.0,0.0,0.0,0.0
GENEVARD Annie,0.0,0.0,26796.0,50262.0,80033.0,80910.0,80527.0,47695.0,0.0,0.0,0.0
GÉRARD Raphaël,0.0,0.0,46803.0,79830.0,87204.0,78150.0,83813.0,38204.0,0.0,0.0,0.0
GIPSON Séverine,0.0,0.0,0.0,37457.0,41678.0,42631.0,43472.0,32586.0,0.0,0.0,0.0
GIRARDIN Éric,0.0,0.0,0.0,100000.0,80194.0,41581.0,27728.0,0.0,0.0,0.0,0.0
GIRAUD Joël,0.0,0.0,76598.0,78428.0,66064.0,58272.0,58972.0,29486.0,0.0,0.0,0.0
GIVERNET Olga,0.0,69975.0,62806.0,61658.0,57759.0,43185.0,34589.0,14113.0,0.0,0.0,0.0
GOASGUEN Claude,0.0,74327.0,75778.0,77383.0,75045.0,74231.0,73887.0,44227.0,0.0,0.0,0.0
GOMÈS Philippe,0.0,0.0,0.0,0.0,22458.0,97098.0,113230.0,68340.0,0.0,0.0,0.0
GOMEZ-BASSAC Valérie,0.0,0.0,67032.0,78972.0,83271.0,78385.0,72814.0,0.0,0.0,0.0,0.0
GOSSELIN Philippe,0.0,0.0,35368.0,35368.0,35368.0,31093.0,31484.0,30280.0,0.0,0.0,0.0
GOUFFIER-CHA Guillaume,0.0,0.0,9084.0,25570.0,32475.0,41664.0,61741.0,27264.0,0.0,0.0,0.0
GOULET Perrine,0.0,0.0,30222.0,44254.0,39634.0,42124.0,43792.0,24506.0,0.0,0.0,0.0
GOUTTEFARDE Fabien,0.0,26692.0,32098.0,30803.0,25654.0,34173.0,38043.0,19000.0,0.0,0.0,0.0
GRANDJEAN Carole,0.0,37548.0,37991.0,107823.0,62578.0,107289.0,42065.0,16357.0,0.0,0.0,0.0
GRANJUS Florence,0.0,74724.0,75159.0,76859.0,84226.0,81607.0,78152.0,63099.0,0.0,0.0,0.0
GRAU Romain,0.0,80000.0,92000.0,108000.0,138571.0,160269.0,105438.0,74442.0,0.0,0.0,0.0
GREGOIRE Olivia,0.0,52334.0,86863.0,144558.0,154544.0,261708.0,161758.0,84000.0,0.0,0.0,0.0
GRELIER Jean-Carles,0.0,96288.0,86014.0,80833.0,80785.0,88440.0,89070.0,41902.0,0.0,0.0,0.0
GUEREL Émilie,0.0,0.0,9857.0,29846.0,29479.0,29677.0,24133.0,8678.0,0.0,0.0,0.0
GUERINI Stanislas,0.0,0.0,0.0,27928.0,74920.0,85496.0,97055.0,44315.0,0.0,0.0,0.0
GUÉVENOUX Marie,0.0,60000.0,60000.0,60000.0,60000.0,38000.0,60000.0,19000.0,0.0,0.0,0.0
GUION-FIRMIN Claire,0.0,54181.0,59255.0,59775.0,64556.0,58658.0,60026.0,34375.0,0.0,0.0,0.0
HABIB David,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HABIB Meyer,0.0,0.0,100000.0,45000.0,45000.0,45000.0,54000.0,29000.0,0.0,0.0,0.0
HAI Nadia,0.0,31731.0,29601.0,32691.0,34961.0,43418.0,34494.0,21760.0,0.0,0.0,0.0
HAMMERER Véronique,0.0,0.0,2100.0,2200.0,2200.0,2200.0,2500.0,2500.0,0.0,0.0,0.0
HAMMOUCHE Brahim,0.0,55839.0,57433.0,66339.0,69041.0,74708.0,78249.0,82286.0,0.0,0.0,0.0
HAURY Yannick,0.0,83127.0,93671.0,95881.0,97890.0,97026.0,96555.0,48214.0,0.0,0.0,0.0
HENNION Christine,0.0,129276.0,128887.0,125270.0,79008.0,227333.0,33089.0,47752.0,0.0,0.0,0.0
HENRIET Pierre,0.0,0.0,0.0,0.0,0.0,0.0,5833.0,1541.0,0.0,0.0,0.0
HERBILLON Michel,0.0,0.0,0.0,0.0,0.0,0.0,11318.0,0.0,0.0,0.0,0.0
HÉRIN Danièle,0.0,0.0,0.0,61000.0,76390.0,78473.0,88375.0,77819.0,0.0,0.0,0.0
HERTH Antoine,0.0,0.0,18680.0,599.0,6412.0,1445.0,279.0,0.0,0.0,0.0,0.0
HETZEL Patrick,0.0,0.0,49490.0,65666.0,65390.0,65077.0,64976.0,32000.0,0.0,0.0,0.0
HOLROYD Alexandre,0.0,8078.0,22452.0,26918.0,42916.0,56086.0,49833.0,0.0,0.0,0.0,0.0
HOUBRON Dimitri,0.0,0.0,0.0,0.0,0.0,1215.0,13003.0,5959.0,0.0,0.0,0.0
HOULIÉ Sacha,0.0,0.0,0.0,5000.0,40000.0,43000.0,46000.0,25000.0,0.0,0.0,0.0
HUPPÉ Philippe,0.0,12981.0,12972.0,12451.0,42380.0,51146.0,51176.0,22812.0,0.0,0.0,0.0
HUTIN Christian,0.0,0.0,13224.0,23422.0,18488.0,19292.0,17741.0,0.0,0.0,0.0,0.0
HUYGHE Sébastien,0.0,0.0,0.0,0.0,0.0,0.0,28204.0,17931.0,0.0,0.0,0.0
IBORRA Monique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISAAC-SIBILLE Cyrille,0.0,204200.0,205236.0,205336.0,205436.0,211536.0,211636.0,84936.0,40936.0,0.0,0.0
JACOB Christian,0.0,0.0,34613.0,67126.0,93755.0,94423.0,90407.0,44196.0,0.0,0.0,0.0
JACQUES Jean-Michel,0.0,0.0,27284.0,29488.0,23427.0,19293.0,33890.0,13087.0,0.0,0.0,0.0
JACQUIER-LAFORGE Élodie,0.0,38183.0,41054.0,43386.0,42983.0,45015.0,50804.0,20064.0,0.0,0.0,0.0
JANVIER Caroline,0.0,25571.0,27422.0,29811.0,46940.0,29111.0,30544.0,15732.0,0.0,0.0,0.0
JERRETIE Christophe,0.0,22000.0,22000.0,24895.0,41065.0,39999.0,38471.0,20538.0,0.0,0.0,0.0
JOLIVET François,0.0,0.0,110607.0,115033.0,119961.0,151351.0,266238.0,191190.0,0.0,0.0,0.0
JONCOUR Bruno,0.0,0.0,0.0,0.0,67469.0,72870.0,72880.0,38945.0,0.0,0.0,0.0
JOSSO Sandrine,0.0,0.0,21017.0,18120.0,18720.0,22327.0,19176.0,365.0,0.0,0.0,0.0
JUANICO Régis,0.0,0.0,42000.0,84000.0,84000.0,84000.0,84000.0,42000.0,0.0,0.0,0.0
JULIEN-LAFERRIÈRE Hubert,0.0,4800.0,14400.0,14400.0,42548.0,44387.0,49787.0,16632.0,0.0,0.0,0.0
JUMEL Sébastien,0.0,111308.0,110985.0,108009.0,107685.0,76569.0,90237.0,38831.0,0.0,0.0,0.0
KAMARDINE Mansour,0.0,0.0,0.0,0.0,39945.0,23841.0,29968.0,52631.0,48362.0,0.0,0.0
KAMOWSKI Catherine,0.0,0.0,91080.0,90922.0,84210.0,81568.0,82286.0,41390.0,0.0,0.0,0.0
KARAMANLI Marietta,0.0,0.0,76144.0,73049.0,72998.0,72684.0,70380.0,34477.0,0.0,0.0,0.0
KASBARIAN Guillaume,0.0,0.0,49976.0,51347.0,58975.0,60149.0,71414.0,40286.0,0.0,0.0,0.0
KÉCLARD-MONDÉSIR Manuéla,0.0,0.0,0.0,0.0,38400.0,53800.0,40800.0,40800.0,22200.0,0.0,0.0
KERBARH Stéphanie,0.0,22225.0,28051.0,27809.0,26224.0,21188.0,10795.0,11264.0,0.0,0.0,0.0
KERLOGOT Yannick,0.0,0.0,37798.0,33347.0,34831.0,44750.0,36655.0,15373.0,0.0,0.0,0.0
KERVRAN Loïc,0.0,30406.0,43703.0,49487.0,51339.0,58746.0,70223.0,54534.0,0.0,0.0,0.0
KHATTABI Fadila,0.0,16250.0,16900.0,17550.0,18200.0,18850.0,13780.0,8630.0,0.0,0.0,0.0
KHEDHER Anissa,0.0,0.0,13876.0,25460.0,26866.0,28682.0,28897.0,13913.0,0.0,0.0,0.0
KOKOUENDO Rodrigue,0.0,0.0,0.0,42044.0,38855.0,43466.0,45000.0,24720.0,0.0,0.0,0.0
KRABAL Jacques,0.0,0.0,63346.0,50262.0,50006.0,49680.0,50000.0,25000.0,0.0,0.0,0.0
KRIMI Sonia,0.0,0.0,0.0,35600.0,43226.0,53356.0,57115.0,22982.0,0.0,0.0,0.0
KURIC Aina,0.0,0.0,0.0,0.0,0.0,12600.0,21600.0,12600.0,0.0,0.0,0.0
KUSTER Brigitte,0.0,0.0,0.0,0.0,50370.0,80315.0,83231.0,30366.0,0.0,0.0,0.0
LAABID Mustapha,0.0,24983.0,27358.0,32453.0,32185.0,36843.0,33211.0,20906.0,0.0,0.0,0.0
LABARONNE Daniel,0.0,52681.0,55880.0,75096.0,83570.0,83135.0,86772.0,37640.0,0.0,0.0,0.0
LACHAUD Bastien,0.0,26518.0,30229.0,29337.0,29459.0,20243.0,19000.0,10815.0,0.0,0.0,0.0
LACROUTE Valérie,0.0,0.0,1497.0,1497.0,22649.0,22377.0,22460.0,8203.0,0.0,0.0,0.0
LAGARDE Jean-Christophe,0.0,0.0,0.0,0.0,33960.0,39113.0,39230.0,28436.0,0.0,0.0,0.0
LAGLEIZE Jean-Luc,0.0,0.0,43810.0,47210.0,62864.0,82422.0,81832.0,0.0,0.0,0.0,0.0
LAINÉ Fabien,0.0,44420.0,145870.0,97380.0,86623.0,69300.0,102689.0,71800.0,0.0,0.0,0.0
LAKRAFI Amélia,0.0,30000.0,30000.0,30000.0,30000.0,22000.0,0.0,0.0,0.0,0.0,0.0
LAMBERT François-Michel,0.0,35660.0,11033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMBERT Jérôme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANG Anne-Christine,0.0,87780.0,87780.0,87780.0,79120.0,25000.0,25000.0,25000.0,0.0,0.0,0.0
LAQHILA Mohamed,0.0,0.0,119448.0,135146.0,146535.0,125680.0,102512.0,0.0,0.0,0.0,0.0
LARDET Frédérique,0.0,122753.0,121430.0,130432.0,149987.0,138057.0,167884.0,0.0,0.0,0.0,0.0
LARIVE Michel,0.0,0.0,9851.0,5852.0,12330.0,3929.0,3847.0,0.0,0.0,0.0,0.0
LARRIVÉ Guillaume,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LARSONNEUR Jean-Charles,0.0,22758.0,33883.0,35351.0,37649.0,38184.0,12885.0,7458.0,0.0,0.0,0.0
LASSALLE Jean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LASSERRE-DAVID Florence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LATOMBE Philippe,0.0,47000.0,47000.0,47000.0,48000.0,50000.0,50000.0,26000.0,0.0,0.0,0.0
LAUZZANA Michel,0.0,24202.0,95900.0,86323.0,89603.0,97397.0,80401.0,9937.0,0.0,0.0,0.0
LAVERGNE Pascal,0.0,0.0,0.0,0.0,24000.0,24000.0,24000.0,24000.0,24000.0,0.0,0.0
LAZAAR Fiona,0.0,29435.0,26234.0,24322.0,34983.0,35003.0,21257.0,15761.0,0.0,0.0,0.0
LE BOHEC Gaël,0.0,55262.0,60811.0,68688.0,69728.0,14499.0,493.0,0.0,0.0,0.0,0.0
LE FEUR Sandrine,0.0,0.0,0.0,0.0,0.0,13057.0,11913.0,8599.0,0.0,0.0,0.0
LE GENDRE Gilles,0.0,72519.0,62500.0,62539.0,65527.0,69627.0,63291.0,41996.0,0.0,0.0,0.0
LE MEUR Annaïg,0.0,13651.0,10444.0,19786.0,35363.0,17175.0,12278.0,0.0,0.0,0.0,0.0
LE PEIH Nicole,0.0,29854.0,35777.0,40370.0,52536.0,59238.0,65004.0,22013.0,0.0,0.0,0.0
LEBEC Marie,0.0,0.0,0.0,0.0,4120.0,24724.0,22924.0,11599.0,0.0,0.0,0.0
LECLABART Jean-Claude,0.0,37014.0,43667.0,46534.0,56823.0,57533.0,47650.0,0.0,0.0,0.0,0.0
LECLERC Sébastien,0.0,0.0,132162.0,125006.0,146160.0,162452.0,169592.0,74264.0,0.0,0.0,0.0
LECOCQ Charlotte,0.0,25850.0,2700.0,3300.0,29605.0,40600.0,40500.0,22400.0,0.0,0.0,0.0
LECOQ Jean-Paul,0.0,0.0,37048.0,71784.0,71784.0,93960.0,101760.0,51331.0,2519.0,0.0,0.0
LEDOUX Vincent,0.0,0.0,0.0,0.0,0.0,41059.0,22167.0,13093.0,0.0,0.0,0.0
LE FUR Marc,0.0,0.0,0.0,0.0,0.0,1064.0,21648.0,19375.0,21509.0,0.0,0.0
LE GAC Didier,0.0,34400.0,34400.0,34400.0,34400.0,39400.0,44400.0,44400.0,0.0,0.0,0.0
LE GRIP Constance,0.0,0.0,0.0,0.0,75848.0,75925.0,78094.0,39668.0,0.0,0.0,0.0
LEGUILLE-BALLOY Martine,0.0,66223.0,57843.0,47166.0,38322.0,71387.0,58669.0,18000.0,0.0,0.0,0.0
LEJEUNE Christophe,0.0,0.0,-22333.0,-4917.0,19268.0,24353.0,33783.0,6942.0,0.0,0.0,0.0
LEMOINE Patricia,0.0,0.0,0.0,0.0,30791.0,30791.0,30884.0,31305.0,28739.0,7312.0,0.0
LENNE Marion,0.0,2551.0,20079.0,30938.0,10895.0,0.0,0.0,8305.0,0.0,0.0,0.0
LE PEN Marine,0.0,80476.0,80475.0,82250.0,25798.0,118002.0,118012.0,46793.0,0.0,0.0,0.0
LEROY Maurice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LESCURE Roland,0.0,0.0,884335.0,1324767.0,1185553.0,1273064.0,1778523.0,3722196.0,0.0,0.0,0.0
LETCHIMY Serge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LE VIGOUREUX Fabrice,0.0,0.0,60310.0,73393.0,65087.0,71135.0,80005.0,33961.0,0.0,0.0,0.0
LEVY Geneviève,0.0,0.0,0.0,0.0,21142.0,20229.0,20425.0,17382.0,0.0,0.0,0.0
LIMON Monique,0.0,0.0,38720.0,38192.0,38354.0,11438.0,5096.0,3822.0,0.0,0.0,0.0
LIOGER Richard,0.0,55000.0,55500.0,56000.0,93050.0,93650.0,94000.0,93400.0,0.0,0.0,0.0
LISO Brigitte,0.0,0.0,7500.0,30000.0,12500.0,0.0,6000.0,4500.0,0.0,0.0,0.0
LORHO Marie-France,0.0,46953.0,43674.0,51062.0,49546.0,43064.0,50546.0,42642.0,0.0,0.0,0.0
LORION David,0.0,8500.0,9300.0,9100.0,27100.0,58200.0,58100.0,88402.0,0.0,0.0,0.0
LOUIS Alexandra,0.0,0.0,5132.0,21300.0,28872.0,33167.0,8843.0,7000.0,0.0,0.0,0.0
LOUWAGIE Véronique,0.0,234434.0,189684.0,200689.0,117149.0,120348.0,127079.0,28579.0,0.0,0.0,0.0
LUQUET Aude,0.0,0.0,8400.0,36400.0,14900.0,33800.0,43000.0,23800.0,0.0,0.0,0.0
LURTON Gilles,0.0,4126.0,52048.0,86727.0,73812.0,65749.0,65151.0,38626.0,1056.0,619.0,0.0
MAGNE Marie-Ange,0.0,0.0,9644.0,15107.0,10418.0,16507.0,20063.0,5571.0,0.0,0.0,0.0
MAGNIER Lise,0.0,31980.0,39609.0,30395.0,41899.0,34350.0,36077.0,23624.0,0.0,0.0,0.0
MAILLARD Sylvain,0.0,30000.0,30000.0,30000.0,39600.0,44400.0,42000.0,30000.0,0.0,0.0,0.0
MAILLART-MÉHAIGNERIE Laurence,0.0,755.0,843.0,13664.0,14803.0,31492.0,32458.0,18490.0,0.0,0.0,0.0
MAIRE Jacques,0.0,0.0,771463.0,85914.0,88379.0,178290.0,227337.0,37334.0,0.0,0.0,0.0
MANIN Josette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAQUET Emmanuel,0.0,0.0,74454.0,73642.0,86886.0,82252.0,103659.0,47814.0,0.0,0.0,0.0
MAQUET Jacqueline,18000.0,21600.0,21600.0,21600.0,21600.0,21600.0,0.0,0.0,0.0,0.0,0.0
MARILOSSIAN Jacques,0.0,150144.0,130409.0,151722.0,131603.0,123129.0,125383.0,252067.0,0.0,0.0,0.0
MARLEIX Olivier,0.0,0.0,11658.0,6540.0,24333.0,24261.0,24055.0,12396.0,0.0,0.0,0.0
MARLIN Franck,0.0,19200.0,18636.0,16424.0,21784.0,20399.0,19805.0,12481.0,0.0,0.0,0.0
MARSAUD Sandra,0.0,37734.0,38224.0,39439.0,23181.0,19757.0,27796.0,13085.0,0.0,0.0,0.0
MARTIN Didier,0.0,0.0,93107.0,93639.0,119690.0,132080.0,118316.0,49655.0,0.0,0.0,0.0
MASSÉGLIA Denis,0.0,31647.0,32300.0,36620.0,36275.0,36361.0,37845.0,22062.0,0.0,0.0,0.0
MASSON Jean-Louis,0.0,0.0,0.0,0.0,48253.0,73251.0,76159.0,48160.0,0.0,0.0,0.0
MATHIASIN Max,0.0,0.0,0.0,58800.0,58800.0,58800.0,67200.0,37800.0,0.0,0.0,0.0
MATRAS Fabien,0.0,0.0,20000.0,20000.0,39000.0,31100.0,31100.0,22200.0,0.0,0.0,0.0
MATTEI Jean-Paul,0.0,3166.0,226516.0,211089.0,165591.0,195156.0,161919.0,130684.0,131489.0,0.0,0.0
MAUBORGNE Sereine,0.0,79150.0,54741.0,54746.0,61805.0,61805.0,64780.0,0.0,0.0,0.0,0.0
MAZARS Stéphane,0.0,111778.0,87676.0,69163.0,127858.0,112351.0,185418.0,19650.0,0.0,0.0,0.0
MBAYE Jean François,0.0,25535.0,27809.0,27647.0,28523.0,25456.0,27014.0,14101.0,0.0,0.0,0.0
MELCHIOR Graziella,0.0,0.0,0.0,0.0,0.0,0.0,33528.0,16620.0,0.0,0.0,0.0
MÉLENCHON Jean-Luc,0.0,100182.0,100182.0,100182.0,100182.0,100182.0,100182.0,50091.0,0.0,0.0,0.0
MÉNARD Emmanuelle,0.0,44237.0,21243.0,0.0,31460.0,40650.0,60364.0,29587.0,0.0,0.0,0.0
MENDES Ludovic,0.0,0.0,4000.0,11000.0,8500.0,3600.0,23500.0,18000.0,0.0,0.0,0.0
MENUEL Gérard,0.0,0.0,0.0,0.0,39762.0,79536.0,76011.0,43130.0,0.0,0.0,0.0
MESNIER Thomas,0.0,0.0,17384.0,37296.0,44230.0,56906.0,62559.0,37699.0,0.0,0.0,0.0
METTE Sophie,0.0,0.0,0.0,15225.0,18270.0,18270.0,0.0,0.0,2709.0,0.0,0.0
MEUNIER Frédérique,0.0,0.0,19735.0,30722.0,56920.0,68658.0,71032.0,35544.0,0.0,0.0,0.0
MEYNIER-MILLEFERT Marjolaine,0.0,0.0,18362.0,15131.0,20288.0,24217.0,48354.0,18993.0,0.0,0.0,0.0
MICHEL Monica,0.0,112000.0,113000.0,115000.0,118000.0,120000.0,125000.0,65000.0,0.0,0.0,0.0
MICHEL-KLEISBAUER Philippe,0.0,0.0,12000.0,1526.0,1486.0,1863.0,4332.0,0.0,0.0,0.0,0.0
MICHELS Thierry,0.0,129236.0,102257.0,110531.0,111540.0,109141.0,115163.0,62996.0,0.0,0.0,0.0
MIGNOLA Patrick,0.0,140808.0,158316.0,191471.0,242250.0,188042.0,255769.0,113555.0,0.0,0.0,0.0
MILLIENNE Bruno,0.0,102333.0,100006.0,102515.0,108173.0,108649.0,145469.0,79462.0,0.0,0.0,0.0
MINOT Maxime,0.0,15595.0,16255.0,16849.0,27132.0,30313.0,36591.0,17641.0,0.0,0.0,0.0
MIRALLÈS Patricia,0.0,20000.0,20000.0,20000.0,20000.0,40200.0,45600.0,18830.0,0.0,0.0,0.0
MIS Jean-Michel,0.0,41050.0,42094.0,42808.0,43799.0,44559.0,45776.0,23499.0,0.0,0.0,0.0
MOLAC Paul,0.0,0.0,34701.0,65574.0,65253.0,64616.0,85142.0,46372.0,0.0,0.0,0.0
MÖRCH Sandrine,0.0,0.0,35000.0,40000.0,44362.0,60057.0,54694.0,13832.0,0.0,0.0,0.0
MOREAU Jean-Baptiste,0.0,12000.0,18200.0,24600.0,25200.0,25500.0,24500.0,12100.0,0.0,0.0,0.0
MOREL-À-L'HUISSIER Pierre,0.0,0.0,-2297.0,-2336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MORENAS Adrien,0.0,0.0,0.0,9621.0,0.0,11360.0,0.0,7700.0,0.0,0.0,0.0
MOTIN Cendra,0.0,0.0,25000.0,28000.0,29000.0,30000.0,45900.0,35800.0,0.0,0.0,0.0
MOUTCHOU Naïma,0.0,51600.0,60000.0,72500.0,88000.0,96000.0,96000.0,36000.0,0.0,0.0,0.0
MUSCHOTTI Cécile,0.0,0.0,6767.0,20106.0,21279.0,14168.0,9034.0,16744.0,0.0,0.0,0.0
NADOT Sébastien,0.0,0.0,0.0,0.0,15571.0,36061.0,32687.0,20100.0,0.0,0.0,0.0
NAEGELEN Christophe,0.0,0.0,0.0,91419.0,82770.0,109702.0,138827.0,141397.0,143340.0,157528.0,0.0
NILOR Jean-Philippe,0.0,0.0,0.0,0.0,0.0,0.0,28341.0,12755.0,0.0,0.0,0.0
NOGAL Mickaël,0.0,0.0,2715.0,13338.0,32993.0,22810.0,45000.0,7575.0,0.0,0.0,0.0
NURY Jérôme,0.0,0.0,0.0,0.0,35400.0,62474.0,62000.0,30942.0,0.0,0.0,0.0
O Delphine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O'PETIT Claire,0.0,0.0,13840.0,13431.0,14177.0,14949.0,13988.0,0.0,0.0,0.0,0.0
OBONO Danièle,0.0,0.0,0.0,0.0,5604.0,25929.0,21442.0,10885.0,0.0,0.0,0.0
OPPELT Valérie,0.0,24227.0,30495.0,31847.0,40853.0,34631.0,0.0,0.0,0.0,0.0,0.0
ORPHELIN Matthieu,0.0,38395.0,39757.0,54060.0,46098.0,59571.0,71173.0,30455.0,0.0,0.0,0.0
OSSON Catherine,0.0,0.0,30000.0,30000.0,34851.0,54900.0,63412.0,32650.0,0.0,0.0,0.0
PAHUN Jimmy,0.0,61050.0,52400.0,0.0,0.0,23480.0,32890.0,7660.0,0.0,0.0,0.0
PAJOT Ludovic,0.0,0.0,0.0,0.0,0.0,15396.0,30532.0,14854.0,0.0,0.0,0.0
PALUSZKIEWICZ Xavier,0.0,0.0,38000.0,38900.0,40180.0,57400.0,58600.0,30500.0,0.0,0.0,0.0
PANCHER Bertrand,0.0,0.0,25313.0,91471.0,114753.0,120162.0,118427.0,53723.0,0.0,0.0,0.0
PANONACLE Sophie,0.0,13575.0,13575.0,17581.0,2683.0,0.0,0.0,0.0,0.0,0.0,0.0
PANOT Mathilde,0.0,0.0,0.0,0.0,15200.0,22800.0,20800.0,10200.0,0.0,0.0,0.0
PARIGI Jean-François,0.0,155692.0,155692.0,155692.0,220530.0,254596.0,186188.0,93092.0,0.0,0.0,0.0
PARIS Didier,0.0,187500.0,188400.0,197000.0,201573.0,234500.0,240800.0,161300.0,0.0,0.0,0.0
PARK Zivka,0.0,40500.0,41300.0,42800.0,42800.0,45823.0,45823.0,46877.0,0.0,0.0,0.0
PAUGET Éric,0.0,38280.0,38192.0,57136.0,83498.0,112532.0,94912.0,46728.0,0.0,0.0,0.0
PAU-LANGEVIN George,0.0,0.0,1266.0,75897.0,73349.0,72004.0,53021.0,0.0,0.0,0.0,0.0
PELLOIS Hervé,0.0,0.0,32541.0,29113.0,7856.0,0.0,0.0,0.0,0.0,0.0,0.0
PELTIER Guillaume,0.0,0.0,0.0,28500.0,167179.0,126724.0,199284.0,160290.0,0.0,0.0,0.0
PEREA Alain,0.0,0.0,61067.0,63895.0,82891.0,89609.0,90496.0,45573.0,0.0,0.0,0.0
PERROT Patrice,0.0,47723.0,129819.0,159188.0,140095.0,163891.0,171555.0,29700.0,0.0,0.0,0.0
PERRUT Bernard,0.0,0.0,0.0,0.0,26197.0,27474.0,27250.0,14683.0,0.0,0.0,0.0
PERSON Pierre,0.0,0.0,0.0,0.0,7800.0,15500.0,35200.0,14601.0,0.0,0.0,0.0
PETEL Anne-Laurence,0.0,39887.0,41355.0,43159.0,43850.0,44583.0,44647.0,17581.0,0.0,0.0,0.0
PETIT Frédéric,0.0,94120.0,105360.0,106180.0,118410.0,163220.0,319660.0,0.0,0.0,0.0,0.0
PETIT Maud,0.0,0.0,0.0,6100.0,27309.0,29965.0,30713.0,13877.0,0.0,0.0,0.0
PETIT Valérie,0.0,56297.0,63333.0,50933.0,51902.0,56068.0,45669.0,47932.0,0.0,0.0,0.0
PEU Stéphane,0.0,0.0,42008.0,42008.0,42008.0,42008.0,42008.0,19666.0,0.0,0.0,0.0
PEYROL Bénédicte,0.0,0.0,0.0,6971.0,24573.0,16336.0,30028.0,23251.0,0.0,0.0,0.0
PEYRON Michèle,0.0,0.0,0.0,0.0,0.0,26600.0,37200.0,25000.0,0.0,0.0,0.0
PICHEREAU Damien,0.0,0.0,11796.0,21144.0,19634.0,22974.0,20433.0,7176.0,0.0,0.0,0.0
PIETRASZEWSKI Laurent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PINEL Sylvia,0.0,0.0,16576.0,73156.0,72685.0,72004.0,51800.0,21965.0,0.0,0.0,0.0
PIRES BEAUNE Christine,0.0,54879.0,53536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIRON Béatrice,0.0,0.0,18000.0,24000.0,27000.0,34000.0,34000.0,13349.0,0.0,0.0,0.0
PITOLLAT Claire,0.0,0.0,34314.0,39264.0,63004.0,53513.0,53597.0,31204.0,0.0,0.0,0.0
POLETTI Bérengère,0.0,26500.0,26500.0,26500.0,26500.0,21624.0,21614.0,13567.0,22984.0,7639.0,0.0
POMPILI Barbara,0.0,0.0,0.0,0.0,0.0,0.0,85506.0,39511.0,0.0,0.0,0.0
PONT Jean-Pierre,0.0,98327.0,86157.0,87547.0,82933.0,91326.0,92521.0,19580.0,0.0,0.0,0.0
PORTARRIEU Jean-François,0.0,0.0,0.0,0.0,54000.0,54000.0,57600.0,33600.0,0.0,0.0,0.0
POTIER Dominique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POTTERIE Benoit,0.0,74249.0,149850.0,217001.0,151753.0,117968.0,136320.0,70000.0,42000.0,0.0,0.0
POUDROUX Jean-Luc,0.0,0.0,0.0,0.0,360.0,360.0,360.0,320.0,0.0,0.0,0.0
POUEYTO Josy,0.0,0.0,25000.0,25232.0,45888.0,74116.0,75947.0,36663.0,0.0,0.0,0.0
